date,air_liquide_sa,amadeus_it_group_sa,vinci_sa,societe_generale_sa,lvmh_moet_hennessy_louis_vui,l_oreal,pernod_ricard_sa
2020-02-17,119.65,72.96,97.15,24.11,395.92,252.8,159.49
2020-02-18,119.61,72.9,97.51,23.99,390.62,253.56,159.58
2020-02-19,120.08,73.32,98.06,24.01,400.36,257.34,162.03
2020-02-20,118.54,71.62,96.64,23.57,391.52,251.1,158.48
2020-02-21,119.18,70.96,96.87,23.46,386.46,251.39,158.58
2020-02-24,114.47,67.14,92.41,22.6,368.45,241.94,152.73
2020-02-25,112.25,64.34,90.27,21.78,363.1,238.82,150.05
2020-02-26,112.67,64.1,89.68,21.56,368.07,240.05,149.47
2020-02-27,109.38,61.48,87.77,20.17,353.36,233.05,145.59
2020-02-28,105.19,63.5,83.58,19.32,354.31,227.76,140.32
2020-03-02,107.03,62.5,83.43,18.89,359.33,233.9,143.05
2020-03-03,108.57,63.04,85.73,18.29,360.52,237.59,143.1
2020-03-04,110.23,60.56,87.47,18.26,368.02,245.24,143.62
2020-03-05,109.12,59.0,85.53,17.2,357.85,243.35,145.97
2020-03-06,105.53,55.94,80.4,16.16,344.28,239.76,144.01
2020-03-09,97.53,54.38,74.15,13.3,322.93,223.79,138.4
2020-03-10,95.94,51.94,69.6,13.7,319.87,221.52,134.18
2020-03-11,96.63,51.24,70.59,14.17,315.43,217.08,131.6
2020-03-12,85.84,42.99,58.54,11.74,288.05,201.3,118.66
2020-03-13,90.16,47.75,61.9,12.95,300.86,204.13,117.03
2020-03-16,84.92,44.2,54.24,10.96,284.33,196.19,116.98
2020-03-17,90.51,43.51,58.87,11.82,297.37,210.37,115.73
2020-03-18,85.41,39.14,52.36,10.69,275.11,212.07,117.27
2020-03-19,89.87,43.03,57.54,10.42,281.8,215.1,117.51
2020-03-20,89.95,40.76,64.1,11.07,297.13,214.53,121.82
2020-03-23,89.44,40.0,59.95,10.41,297.51,208.48,118.08
2020-03-24,93.12,41.84,63.48,11.72,324.03,225.21,122.35
2020-03-25,92.69,47.18,68.59,13.06,347.29,239.86,127.33
2020-03-26,94.06,46.52,69.69,13.35,347.48,240.61,129.63
2020-03-27,91.49,44.2,65.81,12.27,326.41,226.81,124.55
2020-03-30,96.37,43.63,67.06,11.65,334.39,232.77,125.32
2020-03-31,99.84,43.2,69.27,11.59,323.36,225.77,124.07
2020-04-01,97.57,42.67,61.6,10.48,310.17,220.48,123.26
2020-04-02,96.97,41.39,59.8,10.52,310.84,224.92,122.59
2020-04-03,98.6,42.0,58.65,9.66,310.55,223.32,121.53
2020-04-06,99.71,44.31,64.62,10.55,324.6,222.47,128.72
2020-04-07,102.75,49.0,66.07,11.02,329.14,226.81,129.68
2020-04-08,101.12,48.37,68.13,11.01,327.89,229.08,128.53
2020-04-09,101.38,49.7,70.28,11.34,331.91,231.35,133.7
2020-04-14,106.73,50.94,70.77,11.08,336.3,236.74,131.36
